contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250411P04920000,2025-04-11 12:02:50+00:00,4920.0,3.28,3.2,3.3,-2.0200002,-38.11321,195,875,0.7476831872558594,False,REGULAR,USD
SPXW250411P04925000,2025-04-11 11:59:56+00:00,4925.0,3.3,3.2,3.5,-2.1000001,-38.88889,271,2874,0.7428004235839842,False,REGULAR,USD
SPXW250411P04930000,2025-04-11 12:01:03+00:00,4930.0,3.1,3.3,3.6,-2.5,-44.642857,269,598,0.7377955908203124,False,REGULAR,USD
SPXW250411P04940000,2025-04-11 11:56:36+00:00,4940.0,3.6,3.7,4.0,-2.5,-40.98361,102,385,0.7351100708007812,False,REGULAR,USD
SPXW250411P04950000,2025-04-11 11:59:59+00:00,4950.0,4.1,4.2,4.3,-1.9000001,-31.66667,488,3528,0.7308376525878906,False,REGULAR,USD
SPXW250411P04960000,2025-04-11 11:57:47+00:00,4960.0,4.06,4.5,4.8,-3.02,-42.65537,108,415,0.7253445434570311,False,REGULAR,USD
SPXW250411P04970000,2025-04-11 11:56:36+00:00,4970.0,4.6,5.0,5.2,-2.7000003,-36.986305,143,653,0.7202786761474609,False,REGULAR,USD
SPXW250411P04975000,2025-04-11 12:02:28+00:00,4975.0,5.3,5.1,5.4,-2.3999996,-31.168827,347,1212,0.7150297052001953,False,REGULAR,USD
SPXW250411P04980000,2025-04-11 12:02:12+00:00,4980.0,5.5,5.3,5.7,-1.8000002,-24.657536,71,5004,0.7125272888183594,False,REGULAR,USD
SPXW250411P04990000,2025-04-11 12:00:41+00:00,4990.0,5.6,5.8,6.1,-2.1,-27.272726,95,561,0.705203143310547,False,REGULAR,USD
SPXW250411P05000000,2025-04-11 12:02:11+00:00,5000.0,6.2,6.3,6.7,-2.0,-24.390244,1396,7857,0.6995269305419922,False,REGULAR,USD
SPXW250411P05010000,2025-04-11 11:54:12+00:00,5010.0,8.0,6.9,7.3,-1.6000004,-16.66667,71,447,0.6937896832275392,False,REGULAR,USD
SPXW250411P05020000,2025-04-11 11:55:56+00:00,5020.0,8.5,7.4,7.7,-1.75,-17.073172,130,276,0.6834138104248049,False,REGULAR,USD
SPXW250411P05025000,2025-04-11 11:56:38+00:00,5025.0,7.5,7.9,8.3,-2.5,-25.0,49,1618,0.6851838122558593,False,REGULAR,USD
SPXW250411P05030000,2025-04-11 12:00:45+00:00,5030.0,8.1,8.2,8.7,-2.29,-22.040422,95,607,0.6820405331420901,False,REGULAR,USD
SPXW250411P05040000,2025-04-11 12:00:01+00:00,5040.0,8.5,8.9,9.4,-2.6999998,-24.107141,76,849,0.6748079394531252,False,REGULAR,USD
SPXW250411P05050000,2025-04-11 11:59:47+00:00,5050.0,9.7,9.7,10.2,-2.8500004,-22.709166,518,3170,0.66836879486084,False,REGULAR,USD
SPXW250411P05060000,2025-04-11 11:57:13+00:00,5060.0,10.0,10.3,10.8,-3.9499998,-28.31541,70,859,0.6569858520507813,False,REGULAR,USD
SPXW250411P05070000,2025-04-11 11:56:22+00:00,5070.0,11.3,11.2,11.7,-3.71,-24.716856,140,929,0.6499973965454101,False,REGULAR,USD
SPXW250411P05075000,2025-04-11 11:37:28+00:00,5075.0,13.78,11.8,12.2,-2.1900005,-13.713216,218,1178,0.647739118347168,False,REGULAR,USD
SPXW250411P05080000,2025-04-11 11:13:37+00:00,5080.0,11.7,12.3,12.8,-4.8499994,-29.305134,20,453,0.6450535983276368,False,REGULAR,USD
SPXW250411P05090000,2025-04-11 11:50:30+00:00,5090.0,17.3,13.8,14.2,0.32999992,1.9446077,80,1514,0.6440770455932617,False,REGULAR,USD
SPXW250411P05100000,2025-04-11 12:02:38+00:00,5100.0,15.3,14.7,15.1,-3.999999,-20.725384,1004,11441,0.6329687582397462,False,REGULAR,USD
SPXW250411P05110000,2025-04-11 11:21:24+00:00,5110.0,17.86,16.5,17.1,-1.4799995,-7.652531,94,4108,0.6349828982543947,False,REGULAR,USD
